symbol,open,high,low,close,volume,SMA_20,EMA_20,return_1d,return_5d,volatility_20d,date,data_source,target_return,market_return_1d,market_return_5d,market_volatility_20d,market_dispersion_1d,relative_return_1d,relative_return_5d,return_rank,vol_rank,volume_rank,inverse_vol,shock_score,jump_flag,momentum_proxy,factor_proxy,return_mean_20d,return_std_20d,volume_mean_20d,volume_std_20d,corr_to_market_20d,tail_risk_20d,market_beta_20d,return_1d_lag_1,return_5d_lag_1,volatility_20d_lag_1,market_return_1d_lag_1,relative_return_1d_lag_1,momentum_proxy_lag_1,shock_score_lag_1,factor_proxy_lag_1,corr_to_market_20d_lag_1,tail_risk_20d_lag_1,return_1d_lag_5,return_5d_lag_5,volatility_20d_lag_5,market_return_1d_lag_5,relative_return_1d_lag_5,momentum_proxy_lag_5,shock_score_lag_5,factor_proxy_lag_5,corr_to_market_20d_lag_5,tail_risk_20d_lag_5
AVAX/USD,16.5947,16.74,15.5975,16.1107,869.103416095,18.8788025,18.401329260471535,-0.029826568710104806,-0.13937189164356256,0.040569964790088495,2025-11-06,alpaca,0.10099809443413377,-0.0329367074961763,-0.13355603983879324,0.0345514567016892,0.007125474629451944,0.003110138786071491,-0.0058158518047693175,0.8,0.8,0.8,24.648770554432446,0.07666109733031724,0.0,-0.07259387172416594,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC/USD,103872.9,104197.808,100196.6,101319.77,1.429237915,108930.756925,107544.41151286132,-0.02468170229315536,-0.07952664377591168,0.020743817399374222,2025-11-06,alpaca,0.01945887757147502,-0.0329367074961763,-0.13355603983879324,0.0345514567016892,0.007125474629451944,0.008255005203020936,0.05402939606288157,1.0,0.2,0.2,48.20711148175899,0.3979499561045308,0.0,-0.012748623856515054,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOGE/USD,0.167146,0.16775,0.156943,0.1615505,77574.796640613,0.1875853,0.1818818227820959,-0.03375998086067167,-0.13768448584162907,0.03581914096839969,2025-11-06,alpaca,0.10646516104871218,-0.0329367074961763,-0.13355603983879324,0.0345514567016892,0.007125474629451944,-0.0008232733644953708,-0.004128446002835823,0.4,0.6,1.0,27.918026334075257,0.0229841674701245,0.0,-0.07090646592223245,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH/USD,3422.3195,3455.1565,3244.735,3312.921,38.177480658,3825.16153125,3737.6529583859774,-0.03233277330167872,-0.14445983862366574,0.03504897612841209,2025-11-06,alpaca,0.036549769825480416,-0.0329367074961763,-0.13355603983879324,0.0345514567016892,0.007125474629451944,0.0006039341944975782,-0.010903798784872493,0.6,0.4,0.4,28.531495785247852,0.017231145924874708,0.0,-0.07768181870426911,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOL/USD,162.315,162.92,153.3935,155.241,347.402527476,184.082925,178.89315753299564,-0.04408251231527094,-0.1667373393091972,0.04057538422217148,2025-11-06,alpaca,0.04192835655529126,-0.0329367074961763,-0.13355603983879324,0.0345514567016892,0.007125474629451944,-0.011145804819094642,-0.03318129947040396,0.2,1.0,0.6,24.645478353814074,0.2746936914048336,0.0,-0.09995931938980059,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVAX/USD,16.121,18.05,16.0505,17.73785,1416.281888866,18.755045000000003,18.338140759474246,0.10099809443413377,-0.05724953494552221,0.047391405474815435,2025-11-07,alpaca,-0.014057509788390599,0.061080051887018524,-0.08465855204639827,0.037838203677693305,0.03985631247969051,0.03991804254711524,0.027409017100876065,0.8,1.0,0.8,21.100867952159312,0.842305344695356,0.0,-0.01492025892232307,0.4,,,,,,,,-0.029826568710104806,-0.13937189164356256,0.040569964790088495,-0.0329367074961763,0.003110138786071491,-0.07259387172416594,0.07666109733031724,0.5,,,,,,,,,,,,
BTC/USD,101325.05,104143.251,99184.03,103291.339,6.286516116,108732.54775,107139.3569878269,0.01945887757147502,-0.06561802971077224,0.021210282757542078,2025-11-07,alpaca,-0.009585885995727184,0.061080051887018524,-0.08465855204639827,0.037838203677693305,0.03985631247969051,-0.041621174315543505,0.01904052233562603,0.2,0.2,0.2,47.14692114018153,1.962310223216679,0.0,-0.023288753687573105,0.5,,,,,,,,-0.02468170229315536,-0.07952664377591168,0.020743817399374222,-0.0329367074961763,0.008255005203020936,-0.012748623856515054,0.3979499561045308,0.9,,,,,,,,,,,,
DOGE/USD,0.1616255,0.181507,0.159535,0.17875,103210.65901871,0.187040875,0.1815835539457058,0.10646516104871218,-0.04114365411436549,0.04333635753208715,2025-11-07,alpaca,-0.015068531468531376,0.061080051887018524,-0.08465855204639827,0.037838203677693305,0.03985631247969051,0.04538510916169365,0.04351489793203278,1.0,0.8,1.0,23.07530734456641,1.047275342772778,0.0,0.001185621908833645,0.6,,,,,,,,-0.03375998086067167,-0.13768448584162907,0.03581914096839969,-0.0329367074961763,-0.0008232733644953708,-0.07090646592223245,0.0229841674701245,0.4,,,,,,,,,,,,
ETH/USD,3311.94,3471.0675,3194.3791133,3434.0075,30.403463871,3802.41715625,3708.7343433015985,0.036549769825480416,-0.12096474037031002,0.036087572124172546,2025-11-07,alpaca,-0.009684748795685594,0.061080051887018524,-0.08465855204639827,0.037838203677693305,0.03985631247969051,-0.02453028206153811,-0.03630618832391175,0.4,0.4,0.4,27.71036298744354,0.6797430201095958,0.0,-0.07863546434711088,0.5,,,,,,,,-0.03233277330167872,-0.14445983862366574,0.03504897612841209,-0.0329367074961763,0.0006039341944975782,-0.07768181870426911,0.017231145924874708,0.6,,,,,,,,,,,,
SOL/USD,155.155,164.7,149.8768472905,161.75,337.843240041,182.783675,177.26047586318654,0.04192835655529126,-0.1383168010910214,0.041165400499849326,2025-11-07,alpaca,-0.02361669242658415,0.061080051887018524,-0.08465855204639827,0.037838203677693305,0.03985631247969051,-0.019151695331727267,-0.05365824904462313,0.6,0.6,0.6,24.292239233316042,0.4652375647219008,0.0,-0.09598752506782227,0.5,,,,,,,,-0.04408251231527094,-0.1667373393091972,0.04057538422217148,-0.0329367074961763,-0.011145804819094642,-0.09995931938980059,0.2746936914048336,0.1,,,,,,,,,,,,
